"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","GenerateCode_InvalidSecret_ReturnsNull","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","TotpServiceTests","VaultGuard.BackEnd.Tests.Services","TotpServiceTests","GenerateCode_InvalidSecret_ReturnsNull"
"","0","SetSecret_EmptyValue_RemovesField","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","TotpHelperTests","VaultGuard.BackEnd.Tests.Services","TotpHelperTests","SetSecret_EmptyValue_RemovesField"
"","22","Create_ChildRestrictedFromCreating_ReturnsForbid","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","PasswordItemsControllerTests","VaultGuard.BackEnd.Tests.Controllers","PasswordItemsControllerTests","Create_ChildRestrictedFromCreating_ReturnsForbid"
"","2","ReactivateUser_UnknownId_ReturnsNotFound","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","UserProfileControllerTests","VaultGuard.BackEnd.Tests.Controllers","UserProfileControllerTests","ReactivateUser_UnknownId_ReturnsNotFound"
"","328","FullSeedPipeline_CollectionsThenCategoriesThenTagsThenItems_Succeeds","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","SeedingTests","VaultGuard.BackEnd.Tests.Services","SeedingTests","FullSeedPipeline_CollectionsThenCategoriesThenTagsThenItems_Succeeds"
"","82","SeedCategories_OnEmptyDb_InsertsRows","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","SeedingTests","VaultGuard.BackEnd.Tests.Services","SeedingTests","SeedCategories_OnEmptyDb_InsertsRows"
"","0","ValidateEmail_WithValidFormat_ReturnsTrue","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidateEmail_WithValidFormat_ReturnsTrue"
"","4","CreateDatabaseAsync_ShouldReturnSuccess","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","DatabaseMigrationServiceTests","VaultGuard.BackEnd.Tests.Services","DatabaseMigrationServiceTests","CreateDatabaseAsync_ShouldReturnSuccess"
"","0","AesGcm_WrongKey_FailsAuthentication","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","CryptographyTests","VaultGuard.BackEnd.Tests.Services","CryptographyTests","AesGcm_WrongKey_FailsAuthentication"
"","0","Evaluate_CommonPassword_IsVeryWeak","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","PasswordStrengthServiceTests","VaultGuard.BackEnd.Tests.Services","PasswordStrengthServiceTests","Evaluate_CommonPassword_IsVeryWeak"
"","2","RegisterProvider_ThenImport_DispatchesToProviderAndPersistsItems","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","ImportServiceTests","VaultGuard.BackEnd.Tests.Services","ImportServiceTests","RegisterProvider_ThenImport_DispatchesToProviderAndPersistsItems"
"","4","Constructor_WithNullLogger_ShouldThrowArgumentNullException","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","UserProfileServiceTests","VaultGuard.BackEnd.Tests.Services","UserProfileServiceTests","Constructor_WithNullLogger_ShouldThrowArgumentNullException"
"","1","ValidateMasterPassword_WithShortPassword_ReturnsFalse","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidateMasterPassword_WithShortPassword_ReturnsFalse"
"","2","GenerateCode_ChangesAcrossWindows","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","TotpServiceTests","VaultGuard.BackEnd.Tests.Services","TotpServiceTests","GenerateCode_ChangesAcrossWindows"
"","0","Evaluate_StrongerPassword_HasHigherOrEqualScore","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","PasswordStrengthServiceTests","VaultGuard.BackEnd.Tests.Services","PasswordStrengthServiceTests","Evaluate_StrongerPassword_HasHigherOrEqualScore"
"","23","ImportPasswordsAsync_AssignsUserIdToImportedItems","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","ImportServiceTests","VaultGuard.BackEnd.Tests.Services","ImportServiceTests","ImportPasswordsAsync_AssignsUserIdToImportedItems"
"","3","CreateUser_Valid_ReturnsCreatedAtGetUserById","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","UserProfileControllerTests","VaultGuard.BackEnd.Tests.Controllers","UserProfileControllerTests","CreateUser_Valid_ReturnsCreatedAtGetUserById"
"","73","Schema_PasswordItemsTable_DoesNotHaveVaultIdColumn","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","SeedingTests","VaultGuard.BackEnd.Tests.Services","SeedingTests","Schema_PasswordItemsTable_DoesNotHaveVaultIdColumn"
"","0","ValidatePassword_WithValidLength_ReturnsTrue","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidatePassword_WithValidLength_ReturnsTrue"
"","244","MasterKeyIdentifier_VerifiesCorrectly","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","CryptographyTests","VaultGuard.BackEnd.Tests.Services","CryptographyTests","MasterKeyIdentifier_VerifiesCorrectly"
"","0","ValidateName_WithLegalCharacters_ReturnsTrue","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidateName_WithLegalCharacters_ReturnsTrue"
"","2","DeleteApiKey_ServiceReturnsFalse_ReturnsNotFound","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","ApiKeysControllerTests","VaultGuard.BackEnd.Tests.Controllers","ApiKeysControllerTests","DeleteApiKey_ServiceReturnsFalse_ReturnsNotFound"
"","1","GetUserByIdAsync_WithInvalidUserId_ShouldReturnNull","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","UserProfileServiceTests","VaultGuard.BackEnd.Tests.Services","UserProfileServiceTests","GetUserByIdAsync_WithInvalidUserId_ShouldReturnNull"
"","17","Delete_WhenServiceThrowsException_ShouldReturnInternalServerError","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","CollectionsControllerTests","VaultGuard.BackEnd.Tests.Controllers","CollectionsControllerTests","Delete_WhenServiceThrowsException_ShouldReturnInternalServerError"
"","11","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","SharedMachineDatabaseSettingsTests","VaultGuard.BackEnd.Tests.Configuration","SharedMachineDatabaseSettingsTests","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues"
"","5","GetDefaultCollectionAsync_WhenNoCollectionsExist_ShouldReturnNull","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","CollectionServiceTests","VaultGuard.BackEnd.Tests.Services","CollectionServiceTests","GetDefaultCollectionAsync_WhenNoCollectionsExist_ShouldReturnNull"
"","0","GenerateCode_InvalidSecret_ReturnsNull","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","TotpServiceTests","VaultGuard.BackEnd.Tests.Services","TotpServiceTests","GenerateCode_InvalidSecret_ReturnsNull"
"","2","GetById_ItemBelongsToAnotherUser_ReturnsNotFound_NotForbidden","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","PasswordItemsControllerTests","VaultGuard.BackEnd.Tests.Controllers","PasswordItemsControllerTests","GetById_ItemBelongsToAnotherUser_ReturnsNotFound_NotForbidden"
"","1","SetProtected_Twice_DoesNotDuplicate","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","ProtectedItemHelperTests","VaultGuard.BackEnd.Tests.Services","ProtectedItemHelperTests","SetProtected_Twice_DoesNotDuplicate"
"","1","Constructor_WithNullVaultService_ShouldThrowArgumentNullException","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","UserProfileServiceTests","VaultGuard.BackEnd.Tests.Services","UserProfileServiceTests","Constructor_WithNullVaultService_ShouldThrowArgumentNullException"
"","1","GenerateCode_IsSixDigitsByDefault","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","TotpServiceTests","VaultGuard.BackEnd.Tests.Services","TotpServiceTests","GenerateCode_IsSixDigitsByDefault"
"","0","ValidateMasterPassword_WithAllRequirements_ReturnsTrue","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","InputValidationHelperTests","VaultGuard.BackEnd.Tests.Helpers","InputValidationHelperTests","ValidateMasterPassword_WithAllRequirements_ReturnsTrue"
"","1","GetUserById_UnknownId_ReturnsNotFound","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","UserProfileControllerTests","VaultGuard.BackEnd.Tests.Controllers","UserProfileControllerTests","GetUserById_UnknownId_ReturnsNotFound"
"","2","DeleteApiKey_ServiceReturnsTrue_ReturnsOk","VaultGuard.BackEnd.Tests","2026-07-18","passed","2026-07-18","ApiKeysControllerTests","VaultGuard.BackEnd.Tests.Controllers","ApiKeysControllerTests","DeleteApiKey_ServiceReturnsTrue_ReturnsOk"
