"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Vault Data Management","0","Categories & Collections","32","0","","0"
"0","Vault Data Management","0","Password Items","25","0","","0"
"0","Accounts & API Access","0","API Tokens","15","0","","0"
"0","Accounts & API Access","0","User Profiles","30","0","","0"
"0","Accounts & API Access","0","API Keys","22","0","","0"
"0","Cryptography & Security","0","Two-Factor Authentication","27","0","","0"
"0","Cryptography & Security","0","Security Auditing","7","0","","0"
"0","Cryptography & Security","0","Encryption & Key Derivation","47","0","","0"
"0","Vault Data Management","0","Password Strength & Generation","28","0","","0"
"0","Platform & Infrastructure","0","Data Seeding","14","0","","0"
"0","Cryptography & Security","0","Input Validation","23","0","","0"
"0","Platform & Infrastructure","0","Database Migrations","5","0","","0"
"0","Cryptography & Security","0","Password Vault Cryptography","16","0","","0"
"0","Vault Data Management","0","Import","4","0","","0"
"0","Platform & Infrastructure","0","Configuration","3","0","","0"
