"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","RevokeRefreshTokenAsync_DoesNotAffectOtherTokensForSameUser","Accounts & API Access","2026-07-21","passed","2026-07-21","Refresh Token Store","API Tokens","JwtServiceTests","RevokeRefreshTokenAsync_DoesNotAffectOtherTokensForSameUser"
"","0","SetProtected_False_RemovesFlag","Vault Data Management","2026-07-21","passed","2026-07-21","Protected-Field Encryption Helper","Password Items","ProtectedItemHelperTests","SetProtected_False_RemovesFlag"
"","1","ValidateUsername_WithIllegalCharacters_ReturnsFalse","Cryptography & Security","2026-07-21","passed","2026-07-21","Username Validation","Input Validation","InputValidationHelperTests","ValidateUsername_WithIllegalCharacters_ReturnsFalse"
"","7291","CreatePasswordItem_ShouldOpenDialogAndCreateItem","","2026-07-21","passed","2026-07-21","","VaultGuard.Tests.Playwright.PasswordItemCrudTests","VaultGuard.Tests.Playwright.PasswordItemCrudTests",""
"","152","CreateApiKey_ReturnsPlaintextOnce_ButStoresOnlyTheHash","Accounts & API Access","2026-07-21","passed","2026-07-21","Service Layer","API Keys","ApiKeyServiceTests","CreateApiKey_ReturnsPlaintextOnce_ButStoresOnlyTheHash"
"","1","DeleteUser_UnknownId_ReturnsNotFound","Accounts & API Access","2026-07-21","passed","2026-07-21","Controller Endpoints","User Profiles","UserProfileControllerTests","DeleteUser_UnknownId_ReturnsNotFound"
"","1","AesGcm_TamperedNonce_FailsAuthentication","Cryptography & Security","2026-07-21","passed","2026-07-21","Happy-Path Round Trips","Encryption & Key Derivation","CryptographyTests","AesGcm_TamperedNonce_FailsAuthentication"
"","0","GetRemainingSeconds_MidWindow_CountsDown","Cryptography & Security","2026-07-21","passed","2026-07-21","TOTP Service","Two-Factor Authentication","TotpServiceTests","GetRemainingSeconds_MidWindow_CountsDown"
"","1","DecryptAes256Gcm_WrongLengthKey_Throws","Cryptography & Security","2026-07-21","passed","2026-07-21","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","DecryptAes256Gcm_WrongLengthKey_Throws"
"","3","Evaluate_AlwaysReturnsColourAndCrackTime","Vault Data Management","2026-07-21","passed","2026-07-21","Password Strength Scoring","Password Strength & Generation","PasswordStrengthServiceTests","Evaluate_AlwaysReturnsColourAndCrackTime"
"","7455","PasskeysPage_LoadsSuccessfully","","2026-07-21","passed","2026-07-21","","VaultGuard.Tests.Playwright.UserManagementCrudTests","VaultGuard.Tests.Playwright.UserManagementCrudTests",""
"","1","SetSecret_Updates_ExistingField_WithoutDuplicating","Cryptography & Security","2026-07-21","passed","2026-07-21","TOTP Helper Algorithms","Two-Factor Authentication","TotpHelperTests","SetSecret_Updates_ExistingField_WithoutDuplicating"
"","0","ValidateMasterPassword_WithShortPassword_ReturnsFalse","Cryptography & Security","2026-07-21","passed","2026-07-21","Master Password Strength Rules","Input Validation","InputValidationHelperTests","ValidateMasterPassword_WithShortPassword_ReturnsFalse"
"","3","GenerateCode_ChangesAcrossWindows","Cryptography & Security","2026-07-21","passed","2026-07-21","TOTP Service","Two-Factor Authentication","TotpServiceTests","GenerateCode_ChangesAcrossWindows"
"","0","VerifyPassword_NullOrEmptyInputs_ReturnsFalse_DoesNotThrow","Cryptography & Security","2026-07-21","passed","2026-07-21","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","VerifyPassword_NullOrEmptyInputs_ReturnsFalse_DoesNotThrow"
"","1","GetUserByIdAsync_WithValidUserId_ShouldReturnUserDetails","Accounts & API Access","2026-07-21","passed","2026-07-21","Service Layer","User Profiles","UserProfileServiceTests","GetUserByIdAsync_WithValidUserId_ShouldReturnUserDetails"
"","1","GenerateUserSalt_ShouldReturnCorrectLength","Cryptography & Security","2026-07-21","passed","2026-07-21","Salt Generation","Password Vault Cryptography","PasswordCryptoServiceTests","GenerateUserSalt_ShouldReturnCorrectLength"
"","5","Create_CryptoWalletItem_PreservesType","Vault Data Management","2026-07-21","passed","2026-07-21","Controller Endpoints","Password Items","PasswordItemsControllerTests","Create_CryptoWalletItem_PreservesType"
"","0","GenerateCode_InvalidSecret_ReturnsNull","Cryptography & Security","2026-07-21","passed","2026-07-21","TOTP Service","Two-Factor Authentication","TotpServiceTests","GenerateCode_InvalidSecret_ReturnsNull"
"","10","DeleteAsync_WithNonExistentCollection_ShouldNotThrow","Vault Data Management","2026-07-21","passed","2026-07-21","Collections Service","Categories & Collections","CollectionServiceTests","DeleteAsync_WithNonExistentCollection_ShouldNotThrow"
"","7247","EditTag_ShouldUpdateTagDetails","","2026-07-21","passed","2026-07-21","","VaultGuard.Tests.Playwright.TagCrudTests","VaultGuard.Tests.Playwright.TagCrudTests",""
"","3","AesGcm_RoundTrip_HandlesLargePayload","Cryptography & Security","2026-07-21","passed","2026-07-21","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","AesGcm_RoundTrip_HandlesLargePayload"
"","7268","UpdatePasswordItem_ShouldEditExistingItem","","2026-07-21","passed","2026-07-21","","VaultGuard.Tests.Playwright.PasswordItemCrudTests","VaultGuard.Tests.Playwright.PasswordItemCrudTests",""
"","1","VerifyMasterPassword_WithCorrectPassword_ShouldReturnTrue","Cryptography & Security","2026-07-21","passed","2026-07-21","Master Password Hashing & Verification","Password Vault Cryptography","PasswordCryptoServiceTests","VerifyMasterPassword_WithCorrectPassword_ShouldReturnTrue"
"","2","Update_WithoutEditPermission_ReturnsForbid","Vault Data Management","2026-07-21","passed","2026-07-21","Controller Endpoints","Password Items","PasswordItemsControllerTests","Update_WithoutEditPermission_ReturnsForbid"
"","3","ValidateEmail_WithInvalidFormat_ReturnsFalse","Cryptography & Security","2026-07-21","passed","2026-07-21","Email Validation","Input Validation","InputValidationHelperTests","ValidateEmail_WithInvalidFormat_ReturnsFalse"
"","1","ValidateRefreshTokenAsync_UnknownUser_ReturnsFalse","Accounts & API Access","2026-07-21","passed","2026-07-21","Refresh Token Store","API Tokens","JwtServiceTests","ValidateRefreshTokenAsync_UnknownUser_ReturnsFalse"
"","11","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues","Platform & Infrastructure","2026-07-21","passed","2026-07-21","","Configuration","SharedMachineDatabaseSettingsTests","TryBuildSqlServerConnectionString_WithSqlAuth_BuildsExpectedValues"
"","1","GetAll_WithPermission_ReturnsOkWithItems","Vault Data Management","2026-07-21","passed","2026-07-21","Controller Endpoints","Password Items","PasswordItemsControllerTests","GetAll_WithPermission_ReturnsOkWithItems"
"","6883","Settings_DeepLink_ActivatesRequestedTab (Generator)","","2026-07-21","passed","2026-07-21","","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests",""
"","2","GetById_WithValidId_ShouldReturnOkWithCollection","Vault Data Management","2026-07-21","passed","2026-07-21","Collections Controller","Categories & Collections","CollectionsControllerTests","GetById_WithValidId_ShouldReturnOkWithCollection"
"","0","VerifyMasterPassword_EmptyStoredHash_ReturnsFalse","Cryptography & Security","2026-07-21","passed","2026-07-21","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","VerifyMasterPassword_EmptyStoredHash_ReturnsFalse"
"","7319","SettingsPage_LoadsSuccessfully","","2026-07-21","passed","2026-07-21","","VaultGuard.Tests.Playwright.UserManagementCrudTests","VaultGuard.Tests.Playwright.UserManagementCrudTests",""
"","0","ValidatePassword_WithSingleCharacter_ReturnsFalse","Cryptography & Security","2026-07-21","passed","2026-07-21","Password Length Validation","Input Validation","InputValidationHelperTests","ValidatePassword_WithSingleCharacter_ReturnsFalse"
"","1","GetPendingMigrationsAsync_ShouldReturnCollection","Platform & Infrastructure","2026-07-21","passed","2026-07-21","","Database Migrations","DatabaseMigrationServiceTests","GetPendingMigrationsAsync_ShouldReturnCollection"
"","4","IssueApiKey_UnknownEmail_ReturnsUnauthorized","Accounts & API Access","2026-07-21","passed","2026-07-21","Controller Endpoints","API Keys","ApiKeysControllerTests","IssueApiKey_UnknownEmail_ReturnsUnauthorized"
"","1","DecryptAes256Gcm_WrongLengthNonce_Throws","Cryptography & Security","2026-07-21","passed","2026-07-21","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","DecryptAes256Gcm_WrongLengthNonce_Throws"
"","1","GetAll_WhenServiceThrowsException_ShouldReturnInternalServerError","Vault Data Management","2026-07-21","passed","2026-07-21","Collections Controller","Categories & Collections","CollectionsControllerTests","GetAll_WhenServiceThrowsException_ShouldReturnInternalServerError"
"","2","Update_WithValidIdAndCollection_ShouldReturnOkResult","Vault Data Management","2026-07-21","passed","2026-07-21","Collections Controller","Categories & Collections","CollectionsControllerTests","Update_WithValidIdAndCollection_ShouldReturnOkResult"
"","141","Argon2id_DiffersFromPbkdf2_ForSameInputs","Cryptography & Security","2026-07-21","passed","2026-07-21","Happy-Path Round Trips","Encryption & Key Derivation","CryptographyTests","Argon2id_DiffersFromPbkdf2_ForSameInputs"
"","1","WebsiteUrlSetter_ShouldCreateLoginItemAndKeepWebsiteSynchronized","Vault Data Management","2026-07-21","passed","2026-07-21","Service Layer","Password Items","PasswordItemServiceTests","WebsiteUrlSetter_ShouldCreateLoginItemAndKeepWebsiteSynchronized"
"","1","GetUserApiKeys_NoUserIdClaim_ReturnsUnauthorized","Accounts & API Access","2026-07-21","passed","2026-07-21","Controller Endpoints","API Keys","ApiKeysControllerTests","GetUserApiKeys_NoUserIdClaim_ReturnsUnauthorized"
"","0","Evaluate_RepeatedCharacters_IsPenalised","Vault Data Management","2026-07-21","passed","2026-07-21","Password Strength Scoring","Password Strength & Generation","PasswordStrengthServiceTests","Evaluate_RepeatedCharacters_IsPenalised"
"","1","ValidateMasterPassword_WithAllRequirements_ReturnsTrue","Cryptography & Security","2026-07-21","passed","2026-07-21","Master Password Strength Rules","Input Validation","InputValidationHelperTests","ValidateMasterPassword_WithAllRequirements_ReturnsTrue"
"","2","GetById_WhenServiceThrowsException_ShouldReturnInternalServerError","Vault Data Management","2026-07-21","passed","2026-07-21","Collections Controller","Categories & Collections","CollectionsControllerTests","GetById_WhenServiceThrowsException_ShouldReturnInternalServerError"
"","1","GenerateRefreshToken_VariesPerCall","Accounts & API Access","2026-07-21","passed","2026-07-21","Refresh Token Generation","API Tokens","JwtServiceTests","GenerateRefreshToken_VariesPerCall"
