"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cryptography & Security","0","Two-Factor Authentication","7","0","TOTP Helper Algorithms","0"
"0","","0","","60","0","","0"
"0","Cryptography & Security","0","Password Vault Cryptography","1","0","Salt Generation","0"
"0","Cryptography & Security","0","Input Validation","4","0","Username Validation","0"
"0","Vault Data Management","0","Password Strength & Generation","13","0","Password Strength Scoring","0"
"0","Cryptography & Security","0","Two-Factor Authentication","5","0","QR Code Provisioning","0"
"0","Vault Data Management","0","Import","4","0","","0"
"0","Cryptography & Security","0","Encryption & Key Derivation","30","0","Boundary & Edge Cases","0"
"0","Vault Data Management","0","Categories & Collections","14","0","Collections Service","0"
"0","Cryptography & Security","0","Input Validation","3","0","Password Length Validation","0"
"0","Platform & Infrastructure","0","Database Migrations","5","0","","0"
"0","Cryptography & Security","0","Two-Factor Authentication","15","0","TOTP Service","0"
"0","Accounts & API Access","0","API Tokens","7","0","Refresh Token Store","0"
"0","Vault Data Management","0","Password Items","4","0","Protected-Field Encryption Helper","0"
"0","Cryptography & Security","0","Password Vault Cryptography","7","0","Encryption","0"
"0","Vault Data Management","0","Categories & Collections","13","0","Collections Controller","0"
"0","Cryptography & Security","0","Security Auditing","7","0","","0"
"0","Accounts & API Access","0","API Keys","14","0","Controller Endpoints","0"
"0","Cryptography & Security","0","Encryption & Key Derivation","17","0","Happy-Path Round Trips","0"
"0","Accounts & API Access","0","User Profiles","11","0","Service Layer","0"
"0","Platform & Infrastructure","0","Data Seeding","1","0","Tag Seeding","0"
"0","Vault Data Management","0","Password Strength & Generation","8","0","Passphrase Generator - Edge Cases","0"
"0","Cryptography & Security","0","Input Validation","5","0","Master Password Strength Rules","0"
"0","Platform & Infrastructure","0","Data Seeding","2","0","Schema Guards","0"
"0","Accounts & API Access","0","User Profiles","19","0","Controller Endpoints","0"
"0","Vault Data Management","0","Password Items","19","0","Controller Endpoints","0"
"0","Accounts & API Access","0","API Tokens","3","0","Token Generation","0"
"0","Vault Data Management","0","Categories & Collections","5","0","Categories Service","0"
"0","Cryptography & Security","0","Input Validation","4","0","Email Validation","0"
"0","Cryptography & Security","0","Password Vault Cryptography","4","0","Decryption","0"
"0","Vault Data Management","0","Password Items","2","0","Service Layer","0"
"0","Platform & Infrastructure","0","Configuration","3","0","","0"
"0","Accounts & API Access","0","API Tokens","1","0","Auth Response Assembly","0"
"0","Vault Data Management","0","Password Strength & Generation","7","0","Passphrase Generator - Happy Path","0"
"0","Platform & Infrastructure","0","Data Seeding","4","0","Full Pipeline & Referential Integrity","0"
"0","Platform & Infrastructure","0","Data Seeding","2","0","Collection Seeding","0"
"0","Accounts & API Access","0","API Keys","8","0","Service Layer","0"
"0","Cryptography & Security","0","Password Vault Cryptography","4","0","Master Password Hashing & Verification","0"
"0","Cryptography & Security","0","Input Validation","3","0","Password Confirmation Matching","0"
"0","Cryptography & Security","0","Input Validation","4","0","Name Validation","0"
"0","Accounts & API Access","0","API Tokens","2","0","Expired Token Decoding","0"
"0","Accounts & API Access","0","API Tokens","2","0","Refresh Token Generation","0"
"0","Platform & Infrastructure","0","Data Seeding","3","0","Password Item Seeding","0"
"0","Platform & Infrastructure","0","Data Seeding","2","0","Category Seeding","0"
