"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Create_WithoutCreatePermission_ReturnsForbid","Vault Data Management","2026-07-19","passed","2026-07-19","Controller Endpoints","Password Items","PasswordItemsControllerTests","Create_WithoutCreatePermission_ReturnsForbid"
"","0","ValidatePassword_WithSingleCharacter_ReturnsFalse","Cryptography & Security","2026-07-19","passed","2026-07-19","Password Length Validation","Input Validation","InputValidationHelperTests","ValidatePassword_WithSingleCharacter_ReturnsFalse"
"","0","Evaluate_StrongerPassword_HasHigherOrEqualScore","Vault Data Management","2026-07-19","passed","2026-07-19","Password Strength Scoring","Password Strength & Generation","PasswordStrengthServiceTests","Evaluate_StrongerPassword_HasHigherOrEqualScore"
"","1","WebsiteUrlSetter_ShouldCreateLoginItemAndKeepWebsiteSynchronized","Vault Data Management","2026-07-19","passed","2026-07-19","Service Layer","Password Items","PasswordItemServiceTests","WebsiteUrlSetter_ShouldCreateLoginItemAndKeepWebsiteSynchronized"
"","0","AesGcm_WhitespaceOnlyPlaintext_RoundTrips","Cryptography & Security","2026-07-19","passed","2026-07-19","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","AesGcm_WhitespaceOnlyPlaintext_RoundTrips"
"","0","EncryptPassword_WithNullMasterPassword_ShouldThrowArgumentException","Cryptography & Security","2026-07-19","passed","2026-07-19","Encryption","Password Vault Cryptography","PasswordCryptoServiceTests","EncryptPassword_WithNullMasterPassword_ShouldThrowArgumentException"
"","1","ValidateName_WithIllegalCharacters_ReturnsFalse","Cryptography & Security","2026-07-19","passed","2026-07-19","Name Validation","Input Validation","InputValidationHelperTests","ValidateName_WithIllegalCharacters_ReturnsFalse"
"","39","CreateAsync_WhenCollectionsExist_ShouldNotMarkAsDefault","Vault Data Management","2026-07-19","passed","2026-07-19","Collections Service","Categories & Collections","CollectionServiceTests","CreateAsync_WhenCollectionsExist_ShouldNotMarkAsDefault"
"","2","DeleteApiKey_ServiceReturnsFalse_ReturnsNotFound","Accounts & API Access","2026-07-19","passed","2026-07-19","Controller Endpoints","API Keys","ApiKeysControllerTests","DeleteApiKey_ServiceReturnsFalse_ReturnsNotFound"
"","2","Delete_WithValidId_ShouldReturnNoContent","Vault Data Management","2026-07-19","passed","2026-07-19","Collections Controller","Categories & Collections","CollectionsControllerTests","Delete_WithValidId_ShouldReturnNoContent"
"","0","VerifyMasterPassword_MalformedArgon2idPhc_NonNumericParams_ReturnsFalse","Cryptography & Security","2026-07-19","passed","2026-07-19","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","VerifyMasterPassword_MalformedArgon2idPhc_NonNumericParams_ReturnsFalse"
"","2","AesGcm_RoundTrip_HandlesLargePayload","Cryptography & Security","2026-07-19","passed","2026-07-19","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","AesGcm_RoundTrip_HandlesLargePayload"
"","0","WordListSize_IsReasonablyLarge","Vault Data Management","2026-07-19","passed","2026-07-19","Passphrase Generator - Happy Path","Password Strength & Generation","PassphraseGeneratorTests","WordListSize_IsReasonablyLarge"
"","0","GeneratePng_EmptyContent_ReturnsEmpty","Cryptography & Security","2026-07-19","passed","2026-07-19","QR Code Provisioning","Two-Factor Authentication","QrCodeServiceTests","GeneratePng_EmptyContent_ReturnsEmpty"
"","2","UpdateUserProfile_ServiceFails_ReturnsBadRequest","Accounts & API Access","2026-07-19","passed","2026-07-19","Controller Endpoints","User Profiles","UserProfileControllerTests","UpdateUserProfile_ServiceFails_ReturnsBadRequest"
"","0","GenerateCode_InvalidSecret_ReturnsNull","Cryptography & Security","2026-07-19","passed","2026-07-19","TOTP Service","Two-Factor Authentication","TotpServiceTests","GenerateCode_InvalidSecret_ReturnsNull"
