"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Analyze_ManyWeakReused_ScoresLow","Cryptography & Security","2026-07-20","passed","2026-07-20","","Security Auditing","SecurityAuditServiceTests","Analyze_ManyWeakReused_ScoresLow"
"","7228","Navigation_ToCategories_Works","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.ApplicationWorkflowTests","VaultGuard.Tests.Playwright.ApplicationWorkflowTests",""
"","2","UpdateUserProfile_IdMismatch_ReturnsBadRequest","Accounts & API Access","2026-07-20","passed","2026-07-20","Controller Endpoints","User Profiles","UserProfileControllerTests","UpdateUserProfile_IdMismatch_ReturnsBadRequest"
"","3","IssueApiKey_UnknownEmail_ReturnsUnauthorized","Accounts & API Access","2026-07-20","passed","2026-07-20","Controller Endpoints","API Keys","ApiKeysControllerTests","IssueApiKey_UnknownEmail_ReturnsUnauthorized"
"","6801","Settings_DeepLink_ActivatesRequestedTab (Generator)","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests",""
"","2","ImportPasswordsAsync_WhenProviderReportsFailure_DoesNotPersist","Vault Data Management","2026-07-20","passed","2026-07-20","","Import","ImportServiceTests","ImportPasswordsAsync_WhenProviderReportsFailure_DoesNotPersist"
"","3","CreateMasterPasswordHash_WithNullMasterPassword_ShouldThrowArgumentException","Cryptography & Security","2026-07-20","passed","2026-07-20","Master Password Hashing & Verification","Password Vault Cryptography","PasswordCryptoServiceTests","CreateMasterPasswordHash_WithNullMasterPassword_ShouldThrowArgumentException"
"","7426","CreateCategory_ShouldOpenDialogAndCreateCategory","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.CategoryCrudTests","VaultGuard.Tests.Playwright.CategoryCrudTests",""
"","0","ValidatePasswordMatch_CaseSensitive_ReturnsFalse","Cryptography & Security","2026-07-20","passed","2026-07-20","Password Confirmation Matching","Input Validation","InputValidationHelperTests","ValidatePasswordMatch_CaseSensitive_ReturnsFalse"
"","3","UpdateUserProfileAsync_WithValidData_ShouldUpdateUser","Accounts & API Access","2026-07-20","passed","2026-07-20","Service Layer","User Profiles","UserProfileServiceTests","UpdateUserProfileAsync_WithValidData_ShouldUpdateUser"
"","6808","Nav_VaultsGroup_ExpandsToAllVaultsLink","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests",""
"","1","SetProtected_True_MarksItemProtected","Vault Data Management","2026-07-20","passed","2026-07-20","Protected-Field Encryption Helper","Password Items","ProtectedItemHelperTests","SetProtected_True_MarksItemProtected"
"","7356","AppBar_HasDarkModeToggle","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.UserManagementCrudTests","VaultGuard.Tests.Playwright.UserManagementCrudTests",""
"","0","SetProtected_Twice_DoesNotDuplicate","Vault Data Management","2026-07-20","passed","2026-07-20","Protected-Field Encryption Helper","Password Items","ProtectedItemHelperTests","SetProtected_Twice_DoesNotDuplicate"
"","4","EncryptPassword_WithValidInputs_ShouldReturnEncryptedData","Cryptography & Security","2026-07-20","passed","2026-07-20","Encryption","Password Vault Cryptography","PasswordCryptoServiceTests","EncryptPassword_WithValidInputs_ShouldReturnEncryptedData"
"","0","EncryptAes256Gcm_NullKey_Throws","Cryptography & Security","2026-07-20","passed","2026-07-20","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","EncryptAes256Gcm_NullKey_Throws"
"","2","DecryptPassword_CryptographyServiceThrows_ShouldPropagateException","Cryptography & Security","2026-07-20","passed","2026-07-20","Decryption","Password Vault Cryptography","PasswordCryptoServiceTests","DecryptPassword_CryptographyServiceThrows_ShouldPropagateException"
"","7196","CreateVault_ShouldOpenForm","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.VaultCrudTests","VaultGuard.Tests.Playwright.VaultCrudTests",""
"","6768","Settings_DeepLink_ActivatesRequestedTab (Database)","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests","VaultGuard.Tests.Playwright.PasskeysAndSettingsTests",""
"","0","GenerateCode_InvalidSecret_ReturnsNull","Cryptography & Security","2026-07-20","passed","2026-07-20","TOTP Service","Two-Factor Authentication","TotpServiceTests","GenerateCode_InvalidSecret_ReturnsNull"
"","1","GetAllUsers_ReturnsOkWithUsers","Accounts & API Access","2026-07-20","passed","2026-07-20","Controller Endpoints","User Profiles","UserProfileControllerTests","GetAllUsers_ReturnsOkWithUsers"
"","6","CreateUserAsync_WithValidData_ShouldCreateUserWithApplicationUserId","Accounts & API Access","2026-07-20","passed","2026-07-20","Service Layer","User Profiles","UserProfileServiceTests","CreateUserAsync_WithValidData_ShouldCreateUserWithApplicationUserId"
"","7126","VaultsPage_LoadsSuccessfully","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.VaultCrudTests","VaultGuard.Tests.Playwright.VaultCrudTests",""
"","0","DecryptAes256Gcm_NullEncryptedData_Throws","Cryptography & Security","2026-07-20","passed","2026-07-20","Boundary & Edge Cases","Encryption & Key Derivation","CryptographyEdgeCaseTests","DecryptAes256Gcm_NullEncryptedData_Throws"
"","1","Generate_NegativeWordCount_ClampsToTwo","Vault Data Management","2026-07-20","passed","2026-07-20","Passphrase Generator - Edge Cases","Password Strength & Generation","PassphraseGeneratorEdgeCaseTests","Generate_NegativeWordCount_ClampsToTwo"
"","8","GetDefaultCollectionAsync_WhenNoCollectionsExist_ShouldReturnNull","Vault Data Management","2026-07-20","passed","2026-07-20","Collections Service","Categories & Collections","CollectionServiceTests","GetDefaultCollectionAsync_WhenNoCollectionsExist_ShouldReturnNull"
"","7762","CompletePasswordManagementWorkflow_ShouldExecuteSuccessfully","","2026-07-20","passed","2026-07-20","","VaultGuard.Tests.Playwright.ApplicationWorkflowTests","VaultGuard.Tests.Playwright.ApplicationWorkflowTests",""
"","2","GetPrincipalFromExpiredToken_WrongSigningKey_Throws","Accounts & API Access","2026-07-20","passed","2026-07-20","Expired Token Decoding","API Tokens","JwtServiceTests","GetPrincipalFromExpiredToken_WrongSigningKey_Throws"
"","2","CreateUser_Valid_ReturnsCreatedAtGetUserById","Accounts & API Access","2026-07-20","passed","2026-07-20","Controller Endpoints","User Profiles","UserProfileControllerTests","CreateUser_Valid_ReturnsCreatedAtGetUserById"
"","1","WordListSize_IsReasonablyLarge","Vault Data Management","2026-07-20","passed","2026-07-20","Passphrase Generator - Happy Path","Password Strength & Generation","PassphraseGeneratorTests","WordListSize_IsReasonablyLarge"
"","0","ValidatePasswordMatch_WithMatchingPasswords_ReturnsTrue","Cryptography & Security","2026-07-20","passed","2026-07-20","Password Confirmation Matching","Input Validation","InputValidationHelperTests","ValidatePasswordMatch_WithMatchingPasswords_ReturnsTrue"
"","1","DeleteApiKey_ServiceReturnsFalse_ReturnsNotFound","Accounts & API Access","2026-07-20","passed","2026-07-20","Controller Endpoints","API Keys","ApiKeysControllerTests","DeleteApiKey_ServiceReturnsFalse_ReturnsNotFound"
"","80","CreateApiKey_EmptyName_ReturnsBadRequest","Accounts & API Access","2026-07-20","passed","2026-07-20","Controller Endpoints","API Keys","ApiKeysControllerTests","CreateApiKey_EmptyName_ReturnsBadRequest"
"","1","Generate_WordSegments_ContainOnlyLetters","Vault Data Management","2026-07-20","passed","2026-07-20","Passphrase Generator - Edge Cases","Password Strength & Generation","PassphraseGeneratorEdgeCaseTests","Generate_WordSegments_ContainOnlyLetters"
"","0","GenerateCode_InvalidSecret_ReturnsNull","Cryptography & Security","2026-07-20","passed","2026-07-20","TOTP Service","Two-Factor Authentication","TotpServiceTests","GenerateCode_InvalidSecret_ReturnsNull"
"","1","GetById_ItemDoesNotExist_ReturnsNotFound","Vault Data Management","2026-07-20","passed","2026-07-20","Controller Endpoints","Password Items","PasswordItemsControllerTests","GetById_ItemDoesNotExist_ReturnsNotFound"
